,UV1-A,UV2-A,UV3-A,UV4-A,UV5-A,UV6-A,UV7-A,UV8-A,UV9-A,UV10-A,UV11-A,UV12-A,UV13-A,UV14-A,UV15-A,UV16-A,V1-A,V2-A,V3-A,V4-A,V5-A,V6-A,V7-A,V8-A,V9-A,V10-A,V11-A,V12-A,V13-A,V14-A,V15-A,V16-A,B1-A,B2-A,B3-A,B4-A,B5-A,B6-A,B7-A,B8-A,B9-A,B10-A,B11-A,B12-A,B13-A,B14-A,YG1-A,YG2-A,YG3-A,YG4-A,YG5-A,YG6-A,YG7-A,YG8-A,YG9-A,YG10-A,R1-A,R2-A,R3-A,R4-A,R5-A,R6-A,R7-A,R8-A
CD152_PerCPCy55,0,0,0.000396652,0.000793306,0,0,0.007100081,2.35E-05,0,0,0.021525283,0.072325148,0.15013867,0.116349533,0.077565008,0.052770172,0.000203989,0,0.000140854,0.000651647,0,0,4.53E-05,0.00016433,0.000580407,0,0.063828685,0.389367934,1,0.5735726,0.425839753,0.197551597,0,0,0,0,0.00041191,0,0.023743863,0.202936146,0.655993558,0.901111551,0.499376765,0.331774811,0.309654096,0.317711267,0,0,0,0.010881912,0.12726654,0.357595267,0.841792159,0.280788273,0.212575897,0.121825179,0.004286486,0.074955604,0.294069808,0.612663399,0.414766587,0.207115817,0.245223875,0.123196495
CD25_BB790,0,0.00019802,0.000177506,0.000245318,0,0,0.001499826,0.00372734,0.002849783,0.005210925,0.003447832,0.002363707,0.002636947,0.028279578,0.116284072,0.106118081,0.000113398,0.001024861,0.00077983,0.000852769,0.001881907,0.007032713,0.022448664,0.04120133,0.034939898,0.042042132,0.025996789,0.015364666,0.022689992,0.18201,0.850209993,0.541236502,0.007249085,0.019852027,0.045669542,0.049185118,0.046810927,0.04321101,0.038141267,0.031408083,0.031557991,0.0237062,0.066604467,0.350063699,0.793457142,1,0.000185316,0.000419643,0.00063309,0.000665571,0.000696022,0.0009637,0.001377544,0.009379476,0.044111845,0.039282903,0.000363527,0.000985487,0.00099436,0.001568072,0.008752643,0.042180999,0.123640885,0.074864277
CD31_PE,0,0,7.06E-05,8.51E-05,0,0,0.000557246,0.00118596,0.052509262,0.012543333,0.003117246,0.001520164,0.000821421,0.000591695,0.000454106,0.00021533,0,5.56E-05,4.23E-05,7.58E-05,0,3.06E-05,0.002314541,0.184381308,0.071271969,0.057682528,0.014125813,0.005783883,0.003577728,0.002069389,0.001321904,0.000408962,0.001230935,0.000926867,0.011221392,0.441975536,0.198056716,0.117952318,0.043005503,0.026674731,0.023767593,0.010890328,0.005466994,0.003977097,0.00308678,0.002314113,1,0.347548416,0.229931943,0.081530133,0.0489261,0.037622143,0.031531292,0.010472157,0.006797257,0.003033912,3.60E-06,0,0,8.18E-05,0.000102379,7.83E-05,3.63E-05,0
CD161_PE594,0,0,4.53E-05,0.000167281,0,0,0.00120888,0.000190731,0.007606211,0.039092583,0.014208344,0.007671482,0.004160923,0.003578565,0.002202795,0.001132274,0,9.03E-05,0,0.000128197,0,0,0.000468623,0.024825223,0.064237909,0.197722794,0.05487095,0.028538241,0.015954243,0.010873274,0.007011737,0.002273147,0.002157702,0.001025225,0.004361852,0.084778688,0.191165634,0.484397771,0.195359863,0.156133592,0.133057584,0.055886167,0.031683172,0.025916493,0.017852345,0.013846029,0.179130594,0.385395926,1,0.379804534,0.303240676,0.227006225,0.177097725,0.07152979,0.046242164,0.019019128,0.001089393,0.001189051,0.001009134,0.000726516,0.000562194,0.000411185,0.000278434,6.20E-05
CD7_PECy5,6.56E-05,0.000138689,7.67E-05,9.34E-05,0,0,0,8.86E-05,0,0.000524643,0.033072354,0.019679231,0.012897129,0.013684174,0.006556325,0.003814444,1.90E-05,0.000321818,0.000288122,0.000268751,0.000122086,0.000200709,0.000460019,0.003899254,0.001677457,0.001791566,0.126133698,0.081799023,0.051136634,0.04283774,0.022080412,0.008624456,0.001239648,0.000652094,0.001999721,0.01723214,0.008251069,0.005969794,0.479659919,0.566067699,0.397554083,0.190820799,0.144628841,0.103747552,0.0608581,0.058274693,0.030582465,0.010832164,0.009110668,0.719917417,1,0.594949826,0.553500729,0.279288789,0.141544167,0.068076757,0.153809367,0.269920645,0.19055964,0.114787033,0.102732165,0.056784627,0.042087146,0.019390058
CD24_PECy55,6.15E-05,5.29E-05,9.38E-05,8.95E-05,3.24E-05,3.40E-05,0.000423541,0.000158041,0.000765653,0.000402562,0.003692675,0.025369005,0.028053139,0.022458144,0.017747526,0.009537163,7.52E-05,0.000111577,0.000117326,0.000115384,5.42E-05,4.78E-05,0.000307691,0.004123908,0.001733401,0.001366115,0.01098393,0.088173607,0.098976266,0.060890086,0.05353162,0.019080386,0.001301877,0.000689762,0.0020985,0.020762379,0.009797196,0.006078925,0.026408073,0.188806548,0.620403609,0.377917806,0.18409984,0.175153832,0.149621123,0.123463786,0.037877428,0.013460865,0.009129421,0.031636111,0.260835394,0.950984094,1,0.36501266,0.326557653,0.142104597,0.004304879,0.054649785,0.179802447,0.160394844,0.0907221,0.06475414,0.07214372,0.028543974
IgM_PECy7,5.29E-05,1.71E-05,0.000110495,0.000161442,1.97E-05,0,0.000630285,0.000147944,0,0.000230782,0.000105996,0.000264394,0.000208683,0.010074492,0.046603455,0.031553383,0,2.88E-05,0,7.79E-05,0,0,0.000158001,0.002058911,0.000890708,0.000590983,0.000196774,2.83E-05,0.001134988,0.026997154,0.145252539,0.066501409,0.001434918,0.000695657,0.002148303,0.010704202,0.005290484,0.003395082,0.001491389,0.001230481,0.001166005,0.002618365,0.027329925,0.21944471,0.51031155,0.47632683,0.018577972,0.006312219,0.004501012,0.001961928,0.001450097,0.001475015,0.013358242,0.206807879,1,0.572729087,9.25E-05,0.000210305,5.92E-05,0.000558411,0.005205608,0.036876864,0.113120514,0.051833537
KLRG1_APC,6.39E-05,9.20E-05,0.000417508,0.000492098,6.01E-05,0,0.002351027,0.000309983,0,0.000835015,0.078207665,0.023708833,0.019749774,0.023818296,0.010143215,0.006677221,0,3.00E-05,0,0.000611249,0,0,0.000212145,0.000416541,0.000516314,0.002784033,0.217749287,0.06910677,0.057136596,0.053089381,0.024245491,0.010985012,0,0,0,0,5.65E-05,0.000131864,0.029643179,0.018373015,0.010252929,0.006537721,0.00605422,0.003775908,0.002744022,0.002129704,0,0.00029777,0.005592558,0.472289185,0.342346014,0.156182443,0.204052465,0.109662262,0.049910033,0.028520866,1,0.878517395,0.480337113,0.375288485,0.406591527,0.200939359,0.141894999,0.075532092
CD38_AF700 ,0.000418043,0.000840256,0.000917403,0.00085381,0.000451405,0,0.000221012,0.000289815,0,0.001747234,0.000830875,0.008688217,0.036100823,0.039484787,0.020195361,0.013320056,0,0.003030555,0.002563516,0.002951327,0.000829835,0.00206624,0.003122301,0.001532481,0.001615877,0.000452448,0.001580434,0.029385022,0.168017019,0.136639783,0.072645752,0.03224148,0.002223267,0.002184974,0.002830331,0.001072214,0.001616205,0.000850338,0.000568769,0.002341526,0.008994434,0.022152707,0.019159067,0.010967668,0.00860249,0.007386113,0,0,0.001372026,0.00184953,0.006815566,0.062296157,0.273227464,0.12159678,0.066162874,0.037106262,0.001831314,0.035604602,0.264217541,0.930624154,1,0.447147068,0.396359292,0.203051651
CCR7_APCCy7,1.74E-05,0,0.000354499,0.000211519,0.00027973,9.51E-05,0.000783768,0.000106251,0,0.000271203,0.001912197,0.000965117,0.000632589,0.012784597,0.052961059,0.038628276,0,0.0004132,0.000253824,0.000481083,0,0.000263006,0.00014167,0.000280058,0.000410248,0,0.004944624,0.001386515,0.002470345,0.026791414,0.129182645,0.061732374,0.000226036,0,6.38E-06,0,6.63E-05,0,0.00093355,0.000785457,0.00022887,0.000237727,0.001161357,0.006810485,0.015869284,0.014614395,4.71E-05,0,0.000392206,0.012108984,0.00838453,0.004742855,0.008852172,0.053178792,0.226424684,0.134322704,0.032536302,0.027520505,0.015500272,0.016028788,0.062267896,0.344622609,1,0.481237671
Autofluo,0.018175039,0.074021979,0.108648975,0.14488103,0.183544296,0.290163327,0.745483464,0.467594223,0.679486857,0.192348573,0.068758299,0.047561954,0.034674199,0.042487106,0.037577484,0.027616618,0.25025825,0.210238061,0.294073853,0.353287365,0.680631316,0.700929626,1,0.785582188,0.512431238,0.504047667,0.25953062,0.136755628,0.129909438,0.119940426,0.1077374,0.061399506,0.352111165,0.357997955,0.43444968,0.249105203,0.20382031,0.147093125,0.113301459,0.082262059,0.083026573,0.051069755,0.045820068,0.036798765,0.048393942,0.040391996,0.181763351,0.106229046,0.0905602,0.07477229,0.059579707,0.059198702,0.059389202,0.037409958,0.032980773,0.021502988,0.026400912,0.020403838,0.022035226,0.028262072,0.036993444,0.025458843,0.027457867,0.022977294
