"Valpha7.2","Jalpha33","TCR_Clonal","TCRVB_fam","Freq","clonalAndAlpha"
FALSE,FALSE,FALSE,"TRBV1",0.219597550306212,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV1",0.0026246719160105,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV1",0.00437445319335083,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV1",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV1",0.0183727034120735,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV1",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV1",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV1",0,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV2",0.230971128608924,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV2",0.00174978127734033,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV2",0.0026246719160105,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV2",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV2",0.015748031496063,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV2",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV2",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV2",0,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV3",0.031496062992126,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV3",0,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV3",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV3",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV3",0,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV3",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV3",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV3",0,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV4",0.0717410323709536,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV4",0.00174978127734033,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV4",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV4",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV4",0.00612423447069116,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV4",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV4",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV4",0,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV5",0.0874890638670166,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV5",0.000874890638670166,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV5",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV5",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV5",0.00874890638670166,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV5",0.000874890638670166,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV5",0.00174978127734033,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV5",0,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV6",0.0927384076990376,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV6",0.00174978127734033,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV6",0.00174978127734033,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV6",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV6",0.0113735783027122,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV6",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV6",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV6",0,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV7",0.120734908136483,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV7",0.0026246719160105,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV7",0.000874890638670166,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV7",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV7",0.00612423447069116,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV7",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV7",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV7",0,"Clonal_MAIT"
FALSE,FALSE,FALSE,"TRBV9",0.0516185476815398,"NonClonal_None"
TRUE,FALSE,FALSE,"TRBV9",0,"NonClonal_Valpha7.2"
FALSE,TRUE,FALSE,"TRBV9",0,"NonClonal_Jalpha33"
TRUE,TRUE,FALSE,"TRBV9",0,"NonClonal_MAIT"
FALSE,FALSE,TRUE,"TRBV9",0.00349956255468067,"Clonal_None"
TRUE,FALSE,TRUE,"TRBV9",0,"Clonal_Valpha7.2"
FALSE,TRUE,TRUE,"TRBV9",0,"Clonal_Jalpha33"
TRUE,TRUE,TRUE,"TRBV9",0,"Clonal_MAIT"
