"Population","variable","value","maxVals","minVals","numVariable"
"focus","KLRG1",297,NA,NA,2.51240124012401
"focus","KLRG1",331,NA,NA,2.51250125012501
"focus","KLRG1",319,NA,NA,2.51260126012601
"focus","KLRG1",311,NA,NA,2.51270127012701
"focus","KLRG1",311,NA,NA,2.51280128012801
"focus","KLRG1",284,NA,NA,2.51290129012901
"focus","KLRG1",348,NA,NA,2.51300130013001
"focus","KLRG1",319,NA,NA,2.51310131013101
"focus","KLRG1",225,NA,NA,2.51320132013201
"focus","KLRG1",312,NA,NA,2.51330133013301
"focus","KLRG1",332,NA,NA,2.51340134013401
"focus","KLRG1",301,NA,NA,2.51350135013501
"focus","KLRG1",298,NA,NA,2.51360136013601
"focus","KLRG1",279,NA,NA,2.51370137013701
"focus","KLRG1",266,NA,NA,2.51380138013801
"focus","KLRG1",297,NA,NA,2.51390139013901
"focus","KLRG1",308,NA,NA,2.51400140014001
"focus","KLRG1",328,NA,NA,2.51410141014101
"focus","KLRG1",298,NA,NA,2.51420142014201
"focus","KLRG1",312,NA,NA,2.51430143014301
"focus","KLRG1",305,NA,NA,2.51440144014401
"focus","KLRG1",363,NA,NA,2.51450145014501
"focus","KLRG1",330,NA,NA,2.51460146014601
"focus","KLRG1",275,NA,NA,2.51470147014701
"focus","KLRG1",280,NA,NA,2.51480148014801
"focus","KLRG1",294,NA,NA,2.51490149014901
"focus","KLRG1",322,NA,NA,2.51500150015002
"focus","KLRG1",343,NA,NA,2.51510151015102
"focus","KLRG1",335,NA,NA,2.51520152015202
"focus","KLRG1",311,NA,NA,2.51530153015302
"focus","KLRG1",313,NA,NA,2.51540154015402
"focus","KLRG1",351,NA,NA,2.51550155015502
"focus","KLRG1",329,NA,NA,2.51560156015602
"focus","KLRG1",310,NA,NA,2.51570157015702
"focus","KLRG1",298,NA,NA,2.51580158015802
"focus","KLRG1",299,NA,NA,2.51590159015902
"focus","KLRG1",344,NA,NA,2.51600160016002
"focus","KLRG1",288,NA,NA,2.51610161016102
"focus","KLRG1",359,NA,NA,2.51620162016202
"focus","KLRG1",309,NA,NA,2.51630163016302
"focus","KLRG1",314,NA,NA,2.51640164016402
"focus","KLRG1",306,NA,NA,2.51650165016502
"focus","KLRG1",334,NA,NA,2.51660166016602
"focus","KLRG1",300,NA,NA,2.51670167016702
"focus","KLRG1",312,NA,NA,2.51680168016802
"focus","KLRG1",294,NA,NA,2.51690169016902
"focus","KLRG1",330,NA,NA,2.51700170017002
"focus","KLRG1",352,NA,NA,2.51710171017102
"focus","KLRG1",329,NA,NA,2.51720172017202
"focus","KLRG1",295,NA,NA,2.51730173017302
"focus","KLRG1",315,NA,NA,2.51740174017402
"focus","KLRG1",353,NA,NA,2.51750175017502
"focus","KLRG1",339,NA,NA,2.51760176017602
"focus","KLRG1",337,NA,NA,2.51770177017702
"focus","KLRG1",366,NA,NA,2.51780178017802
"focus","KLRG1",329,NA,NA,2.51790179017902
"focus","KLRG1",282,NA,NA,2.51800180018002
"focus","KLRG1",321,NA,NA,2.51810181018102
"focus","KLRG1",349,NA,NA,2.51820182018202
"focus","KLRG1",307,NA,NA,2.51830183018302
"focus","KLRG1",309,NA,NA,2.51840184018402
"focus","KLRG1",348,NA,NA,2.51850185018502
"focus","KLRG1",310,NA,NA,2.51860186018602
"focus","KLRG1",336,NA,NA,2.51870187018702
"focus","KLRG1",324,NA,NA,2.51880188018802
"focus","KLRG1",319,NA,NA,2.51890189018902
"focus","KLRG1",330,NA,NA,2.51900190019002
"focus","KLRG1",276,NA,NA,2.51910191019102
"focus","KLRG1",326,NA,NA,2.51920192019202
"focus","KLRG1",422,NA,NA,2.51930193019302
"focus","KLRG1",351,NA,NA,2.51940194019402
"focus","KLRG1",272,NA,NA,2.51950195019502
"focus","KLRG1",280,NA,NA,2.51960196019602
"focus","KLRG1",320,NA,NA,2.51970197019702
"focus","KLRG1",366,NA,NA,2.51980198019802
"focus","KLRG1",330,NA,NA,2.51990199019902
"focus","KLRG1",319,NA,NA,2.52000200020002
"focus","KLRG1",291,NA,NA,2.52010201020102
"focus","KLRG1",325,NA,NA,2.52020202020202
"focus","KLRG1",280,NA,NA,2.52030203020302
"focus","KLRG1",335,NA,NA,2.52040204020402
"focus","KLRG1",310,NA,NA,2.52050205020502
"focus","KLRG1",305,NA,NA,2.52060206020602
"focus","KLRG1",270,NA,NA,2.52070207020702
"focus","KLRG1",340,NA,NA,2.52080208020802
"focus","KLRG1",273,NA,NA,2.52090209020902
"focus","KLRG1",315,NA,NA,2.52100210021002
"focus","KLRG1",320,NA,NA,2.52110211021102
"focus","KLRG1",353,NA,NA,2.52120212021202
"focus","KLRG1",352,NA,NA,2.52130213021302
"focus","KLRG1",286,NA,NA,2.52140214021402
"focus","KLRG1",315,NA,NA,2.52150215021502
"focus","KLRG1",316,NA,NA,2.52160216021602
"focus","KLRG1",344,NA,NA,2.52170217021702
"focus","KLRG1",289,NA,NA,2.52180218021802
"focus","KLRG1",294,NA,NA,2.52190219021902
"focus","KLRG1",375,NA,NA,2.52200220022002
"focus","KLRG1",346,NA,NA,2.52210221022102
"focus","KLRG1",311,NA,NA,2.52220222022202
"focus","KLRG1",322,NA,NA,2.52230223022302
"focus","KLRG1",293,NA,NA,2.52240224022402
"focus","KLRG1",274,NA,NA,2.52250225022502
"focus","KLRG1",344,NA,NA,2.52260226022602
"focus","KLRG1",273,NA,NA,2.52270227022702
"focus","KLRG1",274,NA,NA,2.52280228022802
"focus","KLRG1",349,NA,NA,2.52290229022902
"focus","KLRG1",351,NA,NA,2.52300230023002
"focus","KLRG1",316,NA,NA,2.52310231023102
"focus","KLRG1",300,NA,NA,2.52320232023202
"focus","KLRG1",335,NA,NA,2.52330233023302
"focus","KLRG1",344,NA,NA,2.52340234023402
"focus","KLRG1",310,NA,NA,2.52350235023502
"focus","KLRG1",372,NA,NA,2.52360236023602
"focus","KLRG1",288,NA,NA,2.52370237023702
"focus","KLRG1",341,NA,NA,2.52380238023802
"focus","KLRG1",321,NA,NA,2.52390239023902
"focus","KLRG1",231,NA,NA,2.52400240024002
"focus","KLRG1",317,NA,NA,2.52410241024102
"focus","KLRG1",323,NA,NA,2.52420242024202
"focus","KLRG1",310,NA,NA,2.52430243024302
"focus","KLRG1",365,NA,NA,2.52440244024402
"focus","KLRG1",322,NA,NA,2.52450245024502
"focus","KLRG1",293,NA,NA,2.52460246024602
"focus","KLRG1",268,NA,NA,2.52470247024702
"focus","KLRG1",302,NA,NA,2.52480248024802
"focus","KLRG1",307,NA,NA,2.52490249024902
"focus","KLRG1",310,NA,NA,2.52500250025003
"focus","KLRG1",358,NA,NA,2.52510251025102
"focus","KLRG1",311,NA,NA,2.52520252025203
"focus","KLRG1",347,NA,NA,2.52530253025303
"focus","KLRG1",324,NA,NA,2.52540254025403
"focus","KLRG1",286,NA,NA,2.52550255025503
"focus","KLRG1",300,NA,NA,2.52560256025603
"focus","KLRG1",327,NA,NA,2.52570257025703
"focus","KLRG1",299,NA,NA,2.52580258025803
"focus","KLRG1",315,NA,NA,2.52590259025903
"focus","KLRG1",272,NA,NA,2.52600260026003
"focus","KLRG1",294,NA,NA,2.52610261026103
"focus","KLRG1",323,NA,NA,2.52620262026203
"focus","KLRG1",281,NA,NA,2.52630263026303
"focus","KLRG1",328,NA,NA,2.52640264026403
"focus","KLRG1",319,NA,NA,2.52650265026503
"focus","KLRG1",335,NA,NA,2.52660266026603
"focus","KLRG1",315,NA,NA,2.52670267026703
"focus","KLRG1",300,NA,NA,2.52680268026803
"focus","KLRG1",290,NA,NA,2.52690269026903
"focus","KLRG1",313,NA,NA,2.52700270027003
"focus","KLRG1",284,NA,NA,2.52710271027103
"focus","KLRG1",301,NA,NA,2.52720272027203
"focus","KLRG1",296,NA,NA,2.52730273027303
"focus","KLRG1",342,NA,NA,2.52740274027403
"focus","KLRG1",325,NA,NA,2.52750275027503
"focus","KLRG1",307,NA,NA,2.52760276027603
"focus","KLRG1",292,NA,NA,2.52770277027703
"focus","KLRG1",316,NA,NA,2.52780278027803
"focus","KLRG1",326,NA,NA,2.52790279027903
"focus","KLRG1",314,NA,NA,2.52800280028003
"focus","KLRG1",351,NA,NA,2.52810281028103
"focus","KLRG1",328,NA,NA,2.52820282028203
"focus","KLRG1",293,NA,NA,2.52830283028303
"focus","KLRG1",295,NA,NA,2.52840284028403
"focus","KLRG1",342,NA,NA,2.52850285028503
"focus","KLRG1",324,NA,NA,2.52860286028603
"focus","KLRG1",299,NA,NA,2.52870287028703
"focus","KLRG1",351,NA,NA,2.52880288028803
"focus","KLRG1",347,NA,NA,2.52890289028903
"focus","KLRG1",333,NA,NA,2.52900290029003
"focus","KLRG1",323,NA,NA,2.52910291029103
"focus","KLRG1",297,NA,NA,2.52920292029203
"focus","KLRG1",340,NA,NA,2.52930293029303
"focus","KLRG1",349,NA,NA,2.52940294029403
"focus","KLRG1",364,NA,NA,2.52950295029503
"focus","KLRG1",321,NA,NA,2.52960296029603
"focus","KLRG1",291,NA,NA,2.52970297029703
"focus","KLRG1",324,NA,NA,2.52980298029803
"focus","KLRG1",335,NA,NA,2.52990299029903
"focus","KLRG1",337,NA,NA,2.53000300030003
"focus","KLRG1",273,NA,NA,2.53010301030103
"focus","KLRG1",348,NA,NA,2.53020302030203
"focus","KLRG1",301,NA,NA,2.53030303030303
"focus","KLRG1",318,NA,NA,2.53040304030403
"focus","KLRG1",328,NA,NA,2.53050305030503
"focus","KLRG1",342,NA,NA,2.53060306030603
"focus","KLRG1",360,NA,NA,2.53070307030703
"focus","KLRG1",320,NA,NA,2.53080308030803
"focus","KLRG1",300,NA,NA,2.53090309030903
"focus","KLRG1",318,NA,NA,2.53100310031003
"focus","KLRG1",339,NA,NA,2.53110311031103
"focus","KLRG1",370,NA,NA,2.53120312031203
"focus","KLRG1",281,NA,NA,2.53130313031303
"focus","KLRG1",284,NA,NA,2.53140314031403
"focus","KLRG1",289,NA,NA,2.53150315031503
"focus","KLRG1",306,NA,NA,2.53160316031603
"focus","KLRG1",339,NA,NA,2.53170317031703
"focus","KLRG1",292,NA,NA,2.53180318031803
"focus","KLRG1",308,NA,NA,2.53190319031903
"focus","KLRG1",283,NA,NA,2.53200320032003
"focus","KLRG1",297,NA,NA,2.53210321032103
"focus","KLRG1",329,NA,NA,2.53220322032203
"focus","KLRG1",333,NA,NA,2.53230323032303
"focus","KLRG1",338,NA,NA,2.53240324032403
"focus","KLRG1",267,NA,NA,2.53250325032503
"focus","KLRG1",329,NA,NA,2.53260326032603
"focus","KLRG1",321,NA,NA,2.53270327032703
"focus","KLRG1",286,NA,NA,2.53280328032803
"focus","KLRG1",303,NA,NA,2.53290329032903
"focus","KLRG1",337,NA,NA,2.53300330033003
"focus","KLRG1",324,NA,NA,2.53310331033103
"focus","KLRG1",343,NA,NA,2.53320332033203
"focus","KLRG1",325,NA,NA,2.53330333033303
"focus","KLRG1",335,NA,NA,2.53340334033403
"focus","KLRG1",304,NA,NA,2.53350335033503
"focus","KLRG1",344,NA,NA,2.53360336033603
"focus","KLRG1",330,NA,NA,2.53370337033703
"focus","KLRG1",318,NA,NA,2.53380338033803
"focus","KLRG1",299,NA,NA,2.53390339033903
"focus","KLRG1",309,NA,NA,2.53400340034003
"focus","KLRG1",330,NA,NA,2.53410341034103
"focus","KLRG1",299,NA,NA,2.53420342034203
"focus","KLRG1",306,NA,NA,2.53430343034303
"focus","KLRG1",295,NA,NA,2.53440344034403
"focus","KLRG1",309,NA,NA,2.53450345034503
"focus","KLRG1",355,NA,NA,2.53460346034603
"focus","KLRG1",313,NA,NA,2.53470347034703
"focus","KLRG1",293,NA,NA,2.53480348034803
"focus","KLRG1",335,NA,NA,2.53490349034904
"focus","KLRG1",364,NA,NA,2.53500350035003
"focus","KLRG1",320,NA,NA,2.53510351035104
"focus","KLRG1",335,NA,NA,2.53520352035204
"focus","KLRG1",274,NA,NA,2.53530353035304
"focus","KLRG1",303,NA,NA,2.53540354035404
"focus","KLRG1",277,NA,NA,2.53550355035504
"focus","KLRG1",325,NA,NA,2.53560356035604
"focus","KLRG1",300,NA,NA,2.53570357035704
"focus","KLRG1",323,NA,NA,2.53580358035804
"focus","KLRG1",313,NA,NA,2.53590359035904
"focus","KLRG1",355,NA,NA,2.53600360036004
"focus","KLRG1",298,NA,NA,2.53610361036104
"focus","KLRG1",305,NA,NA,2.53620362036204
"focus","KLRG1",345,NA,NA,2.53630363036304
"focus","KLRG1",286,NA,NA,2.53640364036404
