"","B3GAT1","CD2","KLRC2"
"Ref","0.0576131687242798","0.452380952380952","0.285714285714286"
"Hit","0.161392405063291","0.367088607594937","0.246835443037975"
"Expected_direction_compared_to_ref","Up","Down","Down"
