"","KIR2DL1","KIR3DL1","KIR2DL4","KIR3DL2","KIR3DL3","KIR2DL3"
"Ref","0.233392122281011","0.353615520282187","0.133744855967078","0.122868900646678","0.00764256319811875","0.220752498530276"
"Hit","0.272151898734177","0.439873417721519","0.0537974683544304","0.174050632911392","0.00316455696202532","0.313291139240506"
"Expected_direction_compared_to_ref","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
