"","CD7","CCR7","KLRB1"
"Ref","0.751484191633301","0.367113074692807","0.170509457407152"
"Hit","0.794520547945205","0.0753424657534247","0.863013698630137"
"Expected_direction_compared_to_ref","Down","Down","Up"
