"","CCR7","KLRG1","CD27"
"Ref","0.261102977061981","0.471124125589719","0.386855376606475"
"Hit","0.857487922705314","0.070048309178744","0.681159420289855"
"Expected_direction_compared_to_ref","Up","Down","Up"
