"","logFC","logCPM","F","PValue","Group"
"CD99",-0.228383800539819,9.7231009329681,1.13858526871809,0.296320477281298,"None"
"M6PR",0.0377418097020809,7.89310494806106,0.0480687550510532,0.841429683684327,"None"
"CFLAR",0.361112757021609,7.86261946206496,2.12739366483834,0.156273192148933,"None"
"ARF5",-0.142023784617845,7.98318023780877,0.910551809752194,0.408239259381544,"None"
"NDUFAB1",-0.572083897577269,7.45280814574437,9.56094980774561,0.0178847329769814,"None"
"SLC25A5",-0.272094791861555,8.71378815575617,1.36333645433124,0.25359036839356,"None"
"KMT2E",0.284890676723844,8.45939016352344,3.98034029300638,0.0672622149507071,"None"
"MYCBP2",-0.746373407158062,8.09666320018868,16.1374586927798,0.000425674310270198,"Down"
"PAFAH1B1",-0.141588929743941,7.51375124905212,0.44230097426591,0.511680081203463,"None"
"PSMB1",-0.0500204660790514,8.3480690578211,0.178106332520182,0.831705847919528,"None"
"IL32",0.231787667090502,11.928223977302,2.53922023933821,0.122741887274316,"None"
"SEC62",-0.23003120605686,8.63784345695194,2.48089724862792,0.12693400101245,"None"
"CSDE1",-0.270030641212523,8.80855041541991,6.53808264785951,0.0682927696522878,"None"
"TRAF3IP3",-0.287362259240013,9.10883180212493,2.15241547229308,0.154014934806132,"None"
"ZNF207",-0.0661649797117522,7.51027652279822,0.115306904767996,0.736820222828238,"None"
"FYN",0.185076664643901,9.33312722525539,1.3562382630394,0.254422233992209,"None"
"RNF216",-0.297238077438174,7.40932132606544,1.68654882269029,0.205087375031545,"None"
"CD6",-0.206926715299033,8.13014289496343,1.17573215796526,0.340196134108533,"None"
"MDH1",-0.0835170300238096,7.47273370089651,0.116943214960155,0.735032996627342,"None"
"CCDC88C",-0.260523384726171,7.94266600526538,1.78151476311567,0.19315927359504,"None"
"WAS",-0.0493678327721843,8.38973423089665,0.160025125990781,0.692294644480773,"None"
"MATR3",-0.163949240977389,7.74466341333687,0.375023733622721,0.545424619539386,"None"
"CD74",-0.156396312976893,10.726339689381,0.706350582661045,0.40841313591558,"None"
"RUNX3",-0.291547305108634,8.52557918742022,1.23512889223689,0.276761104334818,"None"
"SERPINB1",-0.728005966916077,7.71989413278509,12.7042106260447,0.00141152240879545,"Down"
"DEF6",-0.194368958170126,7.839919854885,1.04691461611743,0.394484026047547,"None"
"PHF20",0.127578754839239,7.59402568047685,0.411505680800721,0.526638769337261,"None"
"VIM",-0.369844237441756,11.1722641245822,9.37568899658458,0.00494775714690855,"Down"
"CD44",0.178490189082086,8.83748174273427,1.26609248221791,0.270447867333674,"None"
"PRKCH",-0.407115057310025,8.9625666129463,13.2266412859708,0.00115260605854583,"Down"
"BCLAF1",-0.039968345772457,8.43235079772367,0.0551280687935806,0.99501396953634,"None"
"TMSB10",-1.18716457021842,12.7851215463688,103.856060531762,9.91715017728135e-11,"Down"
"GABARAPL2",0.229890172807234,7.75301487684804,2.30320729334813,0.178133141607765,"None"
"BOD1L1",-0.236520891905084,7.65989114051197,2.46075314756683,0.255615842976611,"None"
"MAT2B",-0.0776454230498898,8.01950272721543,0.19850420584297,0.715980852225092,"None"
"LCP2",0.139996851225117,8.93370293087936,1.30643392870652,0.263119463072513,"None"
"HSPA5",0.237530419598677,8.68272001012186,1.44071294029936,0.240495566974143,"None"
"TPR",-0.166669063585316,8.00417777689091,0.837352329491848,0.424699944284658,"None"
