,B_LOMGlow_2,CD4T_EOMGlow_3,CD8T_LOMGlow_2,NK_EOMGlow_1
AIM2,-1.708927268,NA,NA,NA
AIMP2,1.168643044,NA,NA,NA
AK8,-6.128541538,NA,NA,NA
AKAP10,NA,NA,-1.376649893,NA
AKAP11,-1.105057639,NA,NA,NA
AKT1,-1.051001486,NA,NA,NA
AKT1S1,NA,-6.276204933,NA,NA
ALDH3A2,NA,-6.550648023,NA,NA
ALDH5A1,-6.432523639,NA,NA,NA
ALG11,NA,-6.990064078,NA,NA
ALG12,NA,NA,-1.102647205,NA
ALG3,NA,-1.415156009,NA,NA
ALG5,1.71845527,NA,NA,NA
ALG8,1.141573408,NA,NA,NA
ALG9,NA,-6.035429911,NA,NA
ALKBH5,NA,-1.255879402,NA,NA
ALOX5AP,NA,-1.12737254,0.972382238,NA
AMDHD2,-6.558573464,NA,NA,NA
AMIGO2,NA,NA,-1.669989931,NA
AMMECR1,NA,-1.502521477,NA,NA
AMPD2,-2.561267692,NA,NA,NA
ANAPC10,NA,NA,-1.007312794,NA
ANAPC15,NA,NA,-1.020487726,NA
ANAPC7,NA,-2.335498048,NA,NA
ANK3,-2.038387987,NA,NA,NA
ANKIB1,-1.978635715,NA,NA,-0.532441609
ANKMY1,-7.079477752,NA,NA,NA
ANKRD13C,-2.759080162,NA,NA,NA
ANKRD16,1.366321373,NA,NA,NA
ANKRD28,1.678492275,NA,NA,NA
ANKRD37,NA,NA,1.126627269,NA
ANKRD40,NA,-6.51889766,NA,NA
ANKRD52,NA,-6.405768342,-1.764742607,NA
ANKRD54,1.718942737,NA,NA,NA
ANKS6,NA,2.002379598,NA,NA
ANO6,NA,-1.936982813,NA,NA
ANTXR2,-1.961186875,NA,NA,NA
ANXA5,NA,-1.681911934,NA,NA
AP3D1,NA,-1.637677519,0.551495327,NA
AP5M1,NA,-1.356883823,-0.836536691,NA
AP5S1,NA,-5.973488821,NA,NA
APBA2,NA,NA,-3.249943728,NA
APOBEC3B,3.012302883,NA,NA,NA
APOBEC3G,1.435021364,NA,NA,NA
AQP3,2.420859993,-0.503278976,1.449780262,NA
ARAP1,-1.41020079,NA,NA,NA
ARAP2,-1.53000256,NA,NA,NA
AREL1,-6.16972443,NA,NA,NA
ARF4,1.377137743,NA,NA,NA
ARFGEF1,-1.413942346,-1.060191904,-1.019113239,-0.448951514
ARFIP1,NA,-2.682077162,NA,-0.661525036
ARHGAP12,NA,NA,-1.307338965,NA
ARHGAP15,-1.219266842,NA,NA,NA
ARHGAP25,-1.404240801,NA,NA,-0.332885132
ARHGAP26,NA,-1.571342658,NA,NA
ARHGAP27,NA,NA,-1.049304871,NA
ARHGEF12,-6.169383549,NA,NA,NA
ARHGEF3,-2.752170072,NA,NA,NA
ARID5A,-1.779486966,NA,NA,NA
ARID5B,NA,NA,-1.804289923,NA
ARL1,1.160208851,NA,NA,NA
ARL14EP,NA,NA,0.783507135,-1.006073304
ARL17A,NA,-6.533321241,NA,NA
ARL2BP,NA,-1.131203197,-0.870289862,NA
ARL6IP5,-1.074240731,NA,-0.757188988,NA
ARL8A,NA,-1.025852912,NA,NA
ARMC6,-6.841733744,NA,NA,NA
ARNT,-2.590114941,NA,NA,NA
ARNTL,NA,-1.527218337,NA,0.332060412
ARSG,1.736575604,NA,NA,NA
ARV1,NA,-2.33246262,-1.82270544,NA
ASAP1,-2.016561977,NA,NA,NA
ASB1,-2.210314398,NA,NA,NA
ASB7,NA,NA,-1.323712741,NA
ASB8,NA,NA,-1.135553266,NA
ASPSCR1,-1.436146309,NA,-0.811790806,NA
ATAD2,NA,NA,-1.157730175,NA
ATF7,-1.678566591,NA,NA,NA
ATG12,NA,-1.152717352,NA,NA
ATG2A,NA,NA,-1.106838754,NA
ATG4B,NA,-2.280139298,NA,NA
ATG9A,NA,NA,-1.11628908,NA
ATM,-1.1514165,NA,-0.345282263,NA
ATN1,NA,-5.950954342,NA,NA
ATP10A,NA,NA,-2.609050559,NA
ATP10D,-2.005782652,NA,NA,NA
ATP11C,NA,NA,-1.408536493,NA
ATP13A1,1.176761924,NA,NA,-0.865249651
ATP2A2,1.229877996,NA,NA,NA
ATP2C1,1.143277193,NA,NA,NA
ATP6V1D,-1.601054691,NA,NA,NA
ATP6V1E2,NA,-2.283321768,NA,NA
ATXN1,1.332848431,NA,-0.830984399,NA
ATXN10,NA,-1.236324437,NA,NA
ATXN2,NA,-1.593046983,NA,NA
ATXN7L1,NA,NA,-1.921165405,NA
AUH,NA,-2.675814883,-1.429834127,NA
AVEN,1.694978842,NA,NA,NA
B3GAT1,NA,NA,NA,1.692084705
B3GNT9,NA,-5.733430602,NA,NA
B4GALT2,1.98054006,NA,NA,NA
BACH2,-1.232328897,NA,NA,-1.759353336
BAG1,-1.094134613,NA,-0.739658931,NA
BAG3,NA,NA,-2.413167078,NA
BANF1,0.615219293,-1.062241551,NA,NA
BANK1,-1.102394247,NA,NA,NA
BASP1,-1.046095819,NA,NA,NA
BAZ1A,-1.80196491,NA,NA,NA
BCAP29,NA,-2.52823096,NA,NA
BCAS4,-0.989586767,NA,-1.585688544,NA
BCL10,NA,-1.635337151,NA,NA
BCL11A,-2.387501468,NA,NA,NA
BCL2,-1.113436163,NA,NA,NA
BCL2L13,NA,-1.462227226,NA,NA
BCL6,NA,NA,1.021837742,NA
BCL7B,NA,-1.454855091,NA,NA
BCR,NA,-1.599375782,NA,NA
BDH2,-6.000385538,NA,NA,NA
BEX2,NA,NA,NA,-1.15388692
BHLHA15,3.307330913,NA,NA,NA
BICD1,-1.301871099,NA,NA,NA
BID,1.118704151,NA,NA,-0.489220609
BIRC2,-1.633769593,NA,-0.795657355,NA
BLK,NA,NA,3.699596354,NA
BLMH,NA,NA,-1.18331415,NA
BLVRA,NA,NA,-1.35522753,NA
BMP8B,2.497235221,NA,NA,NA
BMPR1A,NA,-6.434875768,NA,NA
BNIP3L,NA,NA,-1.443075942,0.422854753
BPGM,NA,NA,-1.719853288,NA
BRAP,NA,-1.594068449,NA,NA
BRCA2,-6.126883172,NA,NA,NA
BRD9,NA,-1.76496459,NA,NA
BTBD9,-1.11081993,NA,-0.684139435,NA
BUB1,2.380003716,NA,NA,NA
BYSL,1.884208683,NA,NA,NA
C11orf54,NA,NA,-1.104379144,NA
C12orf42,NA,-6.614577986,-3.060612535,NA
C12orf75,1.477258306,NA,NA,NA
C15orf39,1.423413081,NA,NA,NA
