,B_LOMGlow_2,CD4T_EOMGlow_3,CD8T_LOMGlow_2,NK_EOMGlow_1
GPR65,NA,NA,1.077577762,NA
GPR89A,1.030206203,NA,NA,NA
GPR89B,NA,-1.803834788,NA,NA
GRINA,-1.287309432,NA,-0.789201028,NA
GRK5,NA,NA,-2.825662931,NA
GRPEL2,NA,-6.390478153,NA,NA
GRWD1,1.514662798,NA,NA,NA
GSAP,-1.010821996,NA,NA,NA
GSKIP,-6.421867093,NA,NA,NA
GSN,-1.859228734,NA,NA,NA
GSTCD,-6.031195649,NA,NA,NA
GSTM4,-2.344190745,NA,NA,NA
GSTP1,NA,NA,-1.330242414,NA
GTDC1,NA,1.182653449,NA,NA
GTF2E2,-2.095510075,NA,NA,NA
GTSF1,NA,NA,-2.184140097,NA
GXYLT1,NA,1.151271486,NA,NA
GYG1,NA,NA,1.31326362,NA
GZMB,NA,NA,-5.825937835,NA
GZMH,NA,NA,-4.116831921,0.648616336
GZMK,NA,NA,1.016731808,-7.442075846
H1-3,NA,NA,-1.577602316,NA
H2AC17,NA,NA,-2.213847931,NA
H2AJ,1.385002098,-2.047570517,NA,-0.624999087
H4C6,NA,NA,-1.778462151,NA
HARS1,NA,-1.826616715,NA,NA
HAUS3,NA,NA,-1.315820443,NA
HAUS8,-5.952439611,NA,NA,NA
HCST,1.002913388,NA,NA,NA
HDAC4,NA,1.001125277,NA,NA
HDAC5,-2.189977804,NA,-1.272327492,NA
HDHD2,NA,-2.345191682,NA,NA
HDLBP,1.129202784,NA,NA,NA
HEATR3,NA,-6.167648728,NA,NA
HECTD4,NA,-1.409200727,NA,NA
HELQ,NA,-1.502320386,NA,NA
HFM1,-7.001980209,NA,NA,NA
HIBADH,NA,-1.437855019,NA,NA
HIC2,-5.891778382,NA,NA,NA
HIF1A,-1.544474292,NA,NA,-0.440449515
HIP1,NA,NA,NA,-1.51842389
HIP1R,-1.271961205,NA,NA,NA
HIPK3,NA,-1.155238284,NA,NA
HIVEP3,-6.448768416,NA,-1.342641991,NA
HLA-DMA,-1.017165326,NA,NA,NA
HLA-DOA,-1.897241855,NA,NA,NA
HLA-DQB1,-1.306716499,NA,-1.97507618,NA
HLA-DRA,-1.109382159,NA,-2.560132728,-1.30359346
HLA-DRB1,-1.36281125,NA,-2.397694702,-1.101645989
HLCS,NA,NA,-1.100031279,NA
HM13,1.845501287,-0.784986939,NA,NA
HMCES,1.777510351,NA,NA,NA
HMG20B,NA,NA,-1.22688767,NA
HMGA1,NA,NA,-1.147958663,NA
HOPX,-7.86384968,NA,NA,NA
HPGD,NA,NA,1.940704807,NA
HPS3,-2.298981649,NA,NA,NA
HPS4,-1.764923797,NA,NA,NA
HRK,-6.954394199,NA,NA,NA
HS1BP3,NA,NA,-1.656088157,NA
HS2ST1,1.066813956,NA,NA,NA
HSDL1,NA,-6.159533315,NA,NA
HSF2,NA,NA,-1.141326099,NA
HSP90B1,1.730353201,-0.615736052,NA,NA
HSPA13,2.051671116,NA,NA,NA
HSPA5,1.731921294,NA,NA,NA
HSPB1,NA,-0.422633096,-1.480924544,NA
HSPB11,NA,-1.744828293,NA,NA
HSPH1,-1.91809921,NA,-1.197160894,-0.702292501
HTATIP2,-1.586294303,NA,NA,NA
HTT,NA,NA,-1.18431916,NA
HVCN1,-0.900540319,NA,NA,-1.704085616
HYOU1,1.548432427,-1.653776746,NA,NA
IBTK,1.308946853,NA,NA,NA
IDH2,1.230718419,NA,-1.124434167,NA
IDH3G,-1.243175285,NA,NA,NA
IDUA,-6.324820475,NA,NA,NA
IFI30,-1.086061872,NA,NA,NA
IFI35,1.017131428,NA,NA,NA
IFI44,NA,NA,1.029382374,NA
IFIH1,NA,-2.217247381,NA,NA
IFNGR1,-1.245734949,NA,0.997484811,-0.669049082
IFT52,1.310254206,NA,NA,NA
IGF1,2.991698079,NA,NA,NA
IGHMBP2,NA,-6.52466613,NA,NA
IKBKB,-3.042581388,NA,NA,NA
IKZF5,NA,NA,-1.341021584,NA
IL12RB2,NA,NA,NA,-1.323696302
IL13RA1,-6.868947284,NA,NA,NA
IL15RA,NA,-6.116879705,1.044050531,NA
IL18BP,-6.452847505,NA,NA,NA
IL18R1,NA,NA,1.815969802,-1.355799682
IL18RAP,NA,NA,2.924967417,-0.988599571
IL2RA,-6.186836419,NA,NA,NA
IL4I1,NA,NA,3.951585135,NA
IL4R,NA,NA,-1.727877521,NA
IL7R,NA,-0.517192082,0.775267186,-3.685106588
ILVBL,NA,NA,-1.562304004,NA
IMPA1,-1.79627319,NA,NA,NA
IMPDH1,NA,-1.366048326,NA,NA
ING5,NA,-1.032312447,NA,NA
INO80,-1.045274114,NA,NA,NA
INO80B,NA,-2.186960091,NA,NA
INPP4A,1.77813224,NA,NA,NA
INPP5B,-7.251799267,NA,NA,NA
INPP5D,-0.75450628,-1.200501201,NA,NA
INPP5E,-5.947181657,NA,NA,NA
INPP5K,NA,-1.172733798,0.569818428,NA
INTS9,NA,NA,-3.548594599,NA
INVS,NA,NA,-1.27166029,NA
IP6K1,NA,NA,-1.32619216,NA
IP6K2,NA,-1.473554144,NA,NA
IQCG,NA,-6.181213801,NA,NA
IRF7,-1.924850523,NA,NA,NA
IRF9,-1.179895453,NA,NA,NA
ISG20L2,-1.252653848,NA,NA,NA
ISOC2,1.454082784,NA,NA,NA
ISYNA1,1.912877739,NA,-1.461144126,NA
ITGA5,NA,NA,-1.363418403,NA
ITGA6,NA,-0.951413462,NA,-1.009882051
ITGB1,NA,NA,-1.942305781,NA
ITGB1BP1,-1.463246489,NA,NA,NA
ITGB3BP,NA,-2.808923375,NA,NA
ITK,NA,NA,-1.533557033,NA
ITM2A,1.920456437,NA,-1.12916677,NA
ITM2C,1.331972319,NA,NA,NA
ITPR1,-2.160391265,NA,NA,NA
IVNS1ABP,NA,-1.122822167,0.521109502,NA
JADE2,-1.578085543,NA,-0.648658962,NA
JAZF1,NA,NA,-1.48472217,NA
JKAMP,1.068628949,NA,NA,NA
JMY,-1.827542441,NA,NA,NA
KAT2B,NA,-1.604665066,NA,NA
KBTBD2,-7.098551359,NA,NA,NA
KCMF1,NA,NA,-1.327163655,NA
KCNIP2,-6.100375314,NA,NA,NA
KCNQ1,NA,-1.128826398,NA,NA
KCNQ5,NA,NA,-7.430019217,-1.644380255
KDELR1,1.00487714,NA,-0.438964774,NA
KDELR2,1.694543952,NA,NA,NA
KDM2B,-1.305232911,-2.233604444,NA,NA
KDM3A,NA,NA,-1.297198945,NA
KDM3B,-1.008698955,NA,NA,NA
KDM5B,NA,NA,-1.189710416,NA
KDM5C,NA,-1.456277251,NA,NA
KDM7A,-1.885064539,NA,NA,NA
KIAA0040,NA,NA,-1.108757661,NA
KIAA1328,NA,-2.937429591,NA,NA
KIAA2026,-1.079144994,NA,NA,NA
KIF27,NA,NA,-1.618728773,NA
KIF3A,-6.205579836,NA,NA,NA
KIF3B,NA,-6.743625791,NA,NA
KIF5C,NA,NA,1.573240358,NA
KIFC2,-6.002621767,NA,NA,NA
KIR2DL4,NA,NA,NA,-1.65119911
KLC1,NA,-1.670245337,NA,NA
KLC2,NA,-6.140089488,NA,NA
KLF10,NA,NA,-1.990672016,NA
KLHDC10,NA,-7.251583866,NA,NA
KLHDC3,NA,-1.298521671,NA,NA
KLHDC4,-2.178994565,NA,NA,NA
KLHL18,-2.775784731,NA,NA,NA
KLHL21,NA,-6.29536004,NA,NA
KLHL22,NA,-1.599967604,NA,NA
KLHL42,NA,1.023654768,NA,NA
KLHL9,NA,-2.229887897,NA,NA
KLRB1,NA,NA,2.941910189,-0.23944178
KLRC4,NA,NA,-2.827735352,NA
KLRD1,NA,NA,-1.249920755,NA
KLRK1,NA,NA,-1.341071536,-0.346534981
KPNA1,-1.475481281,-1.775955675,NA,NA
KPNA5,-2.749099811,NA,NA,NA
KRBOX4,-2.264229673,NA,NA,NA
KRIT1,NA,-1.262832636,-1.034926493,NA
KYNU,-1.66227432,NA,NA,NA
L3MBTL3,-1.578658332,NA,NA,NA
LACTB,NA,-6.712801483,NA,NA
LAIR2,NA,NA,-4.087403563,NA
LAMP1,NA,-1.157766122,NA,NA
LAMP2,NA,-1.383033599,NA,NA
LAMTOR4,-1.080766518,NA,-0.556499878,NA
LARP1B,NA,-6.806562029,NA,NA
LARS2,NA,NA,-2.023662991,NA
LAS1L,NA,NA,-1.070786919,NA
LAT2,-1.633447419,NA,NA,NA
LATS2,NA,NA,2.085136752,NA
LBH,-1.085441912,NA,NA,NA
LDHB,NA,NA,-1.066041885,-0.505666192
LDLRAP1,NA,NA,-1.588832035,-0.827173382
LDOC1,-5.855617891,NA,NA,NA
LEF1,NA,NA,-2.636235805,NA
LGALS1,NA,-2.619699173,-2.992570768,0.730021501
LGALS3,NA,NA,1.489008263,NA
LGALS9,NA,-1.734021967,-1.857136883,-0.624940453
LGR6,NA,NA,-3.319068116,NA
LIAS,NA,NA,-1.536121513,NA
LIMA1,NA,-7.683674847,-1.598601342,NA
LIN37,-6.018430257,NA,NA,NA
LIX1L,-1.832071941,NA,NA,NA
LLGL2,-6.687372343,NA,NA,NA
LLPH,NA,-1.217148696,NA,NA
LMAN1,1.625333507,-0.881484166,NA,NA
LMAN2,1.194155199,NA,NA,NA
LMO7,NA,NA,-2.850179396,NA
LNX2,NA,-6.065820842,NA,NA
LPCAT1,-1.528382486,NA,NA,NA
LRIG1,NA,1.174007094,NA,NA
LRRC45,NA,-6.389023118,NA,NA
LRRC47,NA,-1.275186865,NA,-0.516497293
LRRC58,NA,-2.574415439,NA,NA
LRRC59,1.369609144,NA,NA,NA
LRRC8A,NA,NA,-1.720049293,NA
LSG1,NA,-1.584890674,NA,NA
LSM10,NA,-1.286573368,NA,NA
LSM14B,-7.041551757,-2.774920158,NA,NA
LSM3,NA,-1.438057613,NA,NA
LST1,NA,-1.859025324,2.235533673,NA
LTB4R2,NA,-6.262657033,NA,NA
LTK,NA,NA,3.899900482,NA
LY86,-1.621840759,NA,NA,NA
LYL1,-1.389311612,NA,NA,NA
LYPD3,NA,1.557173571,NA,NA
LYPLA1,NA,-2.334780529,NA,-0.326537961
LYPLAL1,-1.752220722,NA,NA,NA
LYRM9,-6.128418736,NA,NA,NA
LYSMD2,-2.202127848,NA,NA,NA
LYST,-1.601981301,NA,NA,-0.638992888
LZTFL1,1.75539069,NA,NA,NA
MAD1L1,-1.483152298,NA,NA,NA
MAD2L1,NA,NA,-2.36668574,NA
MAF,NA,NA,1.826446577,NA
MAGEF1,NA,-1.792284815,-1.413963932,0.637219945
MAGT1,1.167341851,NA,NA,NA
MAK16,NA,-6.319671363,NA,NA
MAL,NA,NA,-3.242078122,NA
MAML2,-1.841678719,NA,-1.315311482,-1.153867449
MAN1A1,2.01775382,NA,NA,NA
MAN1B1,NA,NA,-1.133459145,NA
MAN1C1,NA,-2.274395077,NA,NA
MAN2A1,1.201922712,NA,-0.624458689,NA
MAN2A2,NA,1.208302768,NA,NA
MANF,1.901573741,NA,NA,NA
MAP3K10,NA,-6.111771389,NA,NA
MAP3K2,-1.550322545,NA,NA,NA
MAP3K7,NA,-1.403116774,NA,NA
MARCHF1,-1.290646583,NA,NA,NA
MARCHF5,1.031835756,NA,NA,NA
MARCHF8,NA,-1.680527658,NA,NA
MATK,NA,-6.980698207,NA,-0.337362218
MAVS,NA,-6.887155599,NA,NA
MBNL3,-1.607535895,NA,NA,NA
MBOAT7,NA,-1.743976862,NA,NA
MBP,-1.266810185,NA,-0.548896482,NA
MCEE,1.968981129,NA,NA,NA
MCM5,NA,NA,-1.137679533,NA
MCM6,1.744568833,NA,NA,NA
MCM7,1.139776578,NA,NA,-0.842654349
MCOLN2,NA,NA,-1.660478828,NA
MCRS1,NA,NA,-1.021615408,NA
MCUR1,1.476601571,NA,NA,NA
MDC1,NA,NA,-1.503084188,NA
MDFIC,NA,-0.824029268,NA,-1.043711052
MECOM,-6.212212914,NA,NA,NA
MED14,-1.637934722,NA,NA,NA
MED27,NA,-1.256262028,NA,NA
MED28,NA,-1.011113407,NA,NA
MED31,NA,-2.412063168,NA,NA
MED7,NA,-2.1661389,NA,NA
MEGF9,NA,1.116992853,NA,NA
MEI1,1.489057265,NA,NA,NA
MEMO1,NA,NA,-1.30249693,NA
METAP1D,-5.830575202,NA,NA,NA
METRN,NA,NA,-1.180969221,0.390372562
METTL17,-1.146856402,-0.950606971,NA,NA
MFSD10,NA,-1.133101155,NA,NA
MFSD12,NA,-1.44098982,NA,NA
MFSD3,NA,-5.941506432,NA,NA
MFSD5,-2.710134927,NA,NA,NA
MFSD6,NA,-1.278351198,-1.064686536,NA
MFSD8,NA,1.2763058,NA,NA
MGAT1,0.824271505,-1.724570477,NA,NA
MGAT2,1.246607433,NA,0.614398202,NA
MGAT4B,-1.784578675,NA,NA,0.388731306
MGAT5,-1.399286199,NA,NA,NA
MGLL,1.935226813,NA,NA,NA
MIB2,-2.541830444,NA,NA,NA
MICAL2,NA,NA,0.802615922,-1.622214413
MICAL3,-1.044731404,NA,NA,NA
MICU2,-1.125149053,NA,-0.597711607,NA
MID1IP1,NA,-1.966069853,NA,NA
MIEF1,1.81264909,NA,NA,NA
MIER2,NA,-6.079034145,NA,NA
MINK1,-2.017082704,NA,NA,NA
MIS12,-2.19385961,NA,NA,NA
MIX23,1.357355471,-2.227760853,NA,NA
MKLN1,NA,-1.245030331,-0.897084149,NA
MKRN2,NA,-2.744144785,NA,NA
MLEC,1.435798024,NA,NA,NA
MLYCD,-5.801179202,-5.913195828,NA,NA
MMGT1,-2.267161705,NA,NA,NA
MOB2,-2.146309663,NA,NA,NA
MOB3A,-1.0575663,NA,NA,NA
MOCS2,NA,-1.347354962,NA,NA
MOGS,1.019262215,NA,NA,NA
MON1A,NA,-6.164906253,NA,NA
MON1B,NA,-7.288092215,NA,NA
MON2,NA,-1.307079097,NA,NA
MORC3,-1.151728163,NA,NA,NA
MPHOSPH10,NA,-1.5833559,NA,NA
MPHOSPH8,-1.07243349,NA,-0.631387754,NA
MPZL3,-6.384734239,NA,0.930710227,NA
MR1,-2.275099241,NA,NA,NA
MRI1,NA,-2.725412957,NA,NA
MROH1,1.338300801,NA,NA,NA
MSL3,NA,NA,-1.702096943,NA
MSRA,NA,NA,-1.328174134,NA
MT1E,NA,NA,-1.96549807,NA
MT1F,NA,NA,-1.63964794,NA
MT2A,NA,-1.087899233,-0.817785456,NA
MTCP1,NA,-2.23089505,NA,NA
MTFR1,NA,-6.919911561,NA,NA
MTFR1L,NA,NA,-2.011485089,NA
MTHFS,-1.857771921,NA,NA,NA
MTHFSD,-5.88318651,NA,NA,NA
MTMR10,NA,-6.356402178,NA,NA
MTRES1,-6.262058503,NA,NA,NA
MTSS1,-1.343867006,NA,-1.615156227,0.658334172
MTX1,NA,NA,-1.427271925,NA
MX2,-7.858202234,NA,-0.845868122,NA
MXI1,-1.591589358,NA,NA,NA
MYCBP,1.815597912,NA,NA,NA
MYLIP,-1.677843686,NA,NA,NA
MYO1D,NA,NA,1.172679262,NA
MYO1G,NA,NA,-1.033041096,NA
MYSM1,NA,NA,-1.063781715,NA
MZB1,1.943813113,NA,NA,NA
N4BP2L1,-1.528623303,NA,-0.985871819,NA
NAA16,-2.17678904,NA,NA,NA
NAA30,NA,NA,-1.112414362,NA
NAA40,NA,1.367516943,NA,NA
NAAA,NA,-2.11893445,-0.610264463,NA
NACC1,-6.125060417,-6.39326958,NA,NA
NADSYN1,NA,NA,-1.276628542,NA
NAF1,-6.41393858,NA,NA,NA
NANS,1.902316874,NA,NA,NA
NAPEPLD,-6.608880835,NA,NA,NA
NBPF15,-1.28103382,NA,NA,NA
NBR1,NA,-1.121416376,NA,NA
NCAPD3,1.49545588,NA,NA,NA
NCDN,-5.881871261,NA,NA,NA
NCOA2,NA,-1.316035085,-0.566346541,NA
NCOA3,NA,NA,-1.197807912,-0.488527789
NCOA5,-1.787463132,NA,NA,NA
NCR1,NA,NA,-6.729616098,NA
NCR3,NA,NA,2.071013101,NA
NDUFA9,NA,-1.460027415,NA,-0.443298791
NDUFAF7,NA,-2.250923537,NA,NA
NDUFB6,1.095680872,NA,NA,NA
NDUFV3,NA,-1.789850932,NA,NA
NEK6,-3.48982298,NA,NA,NA
NELFA,NA,-1.934882304,NA,NA
NELFCD,-3.433732284,NA,-1.071031393,NA
NELL2,NA,NA,-1.122273316,NA
NET1,1.817165274,NA,NA,NA
NF2,NA,-6.509107833,NA,NA
NFATC1,NA,-1.14996426,NA,NA
NFE2L2,NA,-1.052553294,NA,NA
NFKBIB,NA,-1.671264798,NA,NA
NFYB,-2.197200993,NA,NA,NA
NIF3L1,NA,-7.08070927,NA,NA
NINJ2,NA,NA,-1.597318998,NA
NKAP,-1.681496139,-1.307981524,NA,NA
NLRC5,-1.922448843,NA,-0.555495067,-0.686428282
NLRP1,-1.465753951,-0.700437327,NA,NA
NME1,1.357279458,-2.019172449,NA,-0.651453317
NOC3L,NA,-1.807375889,NA,NA
NOL12,-1.791398973,NA,NA,NA
NOPCHAP1,-2.510400395,NA,NA,NA
NOTCH2,NA,NA,-1.122579554,NA
NPC1,-6.554213013,NA,NA,0.386584929
NPIPB4,NA,NA,-7.102573622,NA
NPRL2,NA,-1.899501894,NA,NA
NPRL3,NA,-2.025139179,NA,0.42479087
NR1D1,NA,NA,2.008695134,NA
NR3C2,-2.188503984,NA,NA,NA
NRAS,NA,-2.281272972,NA,NA
NRIP1,NA,NA,1.677161996,NA
NRM,-2.723947764,NA,NA,NA
NSDHL,NA,-5.807989316,NA,NA
NSF,-1.431518345,NA,NA,NA
NSMAF,-1.071565898,NA,-0.602751752,NA
NSRP1,-1.014210926,NA,NA,NA
NSUN2,-2.21139982,NA,NA,NA
NT5C3B,-2.544282901,NA,NA,NA
NT5E,NA,NA,-1.904920709,NA
NUAK2,NA,NA,-2.171740317,NA
NUB1,-1.095098449,NA,NA,NA
NUDT1,NA,NA,-1.200449966,NA
NUP107,-1.44539244,NA,NA,NA
NUP153,NA,NA,-1.200115201,NA
NUP54,NA,-1.383905321,NA,NA
NUS1,1.127192354,NA,NA,-0.469912842
NXPE3,NA,NA,-1.244968004,NA
OAF,2.715380396,NA,NA,NA
OARD1,NA,-1.175014699,NA,NA
OAS3,NA,-6.43363363,NA,NA
OAZ2,NA,-2.202866564,NA,NA
OCEL1,NA,-1.837333052,-0.962813464,-0.567290733
ODF2,NA,-1.216547032,NA,NA
ODF2L,-2.222037537,NA,0.861920157,-0.477233139
OFD1,-1.18665503,NA,NA,NA
ORC2,-2.803524947,NA,NA,NA
ORMDL2,0.94718014,-1.62859546,NA,NA
OSBPL7,1.407438364,NA,NA,NA
OSER1,-1.089439241,NA,NA,NA
OSGEP,-1.132718445,NA,NA,NA
OSGEPL1,NA,NA,-1.240184376,NA
OSTC,1.872068238,NA,0.500962277,-0.361724482
OTUD6B,NA,1.169137749,NA,NA
OXSR1,NA,-7.60345511,NA,NA
P2RX5,-0.906475151,NA,1.006170087,NA
P2RY10,NA,NA,-1.341544846,NA
P4HB,1.312226986,-0.665082086,0.373198417,NA
PACC1,NA,-6.492904789,NA,NA
PACS1,-0.634953116,NA,-1.007667436,NA
PAICS,1.176323288,NA,NA,NA
PAK1,-2.555419419,NA,-2.431216995,NA
PALLD,NA,NA,NA,1.340370493
PALS1,-6.307713963,-6.653305853,NA,NA
PALS2,NA,NA,-2.095720825,NA
PANK2,-1.547255754,NA,NA,NA
PARN,NA,NA,-1.021130197,NA
PARP11,-6.830654921,NA,NA,NA
PARP16,NA,NA,-1.461036072,NA
PASK,NA,NA,-2.92075151,NA
PATL2,-2.181625279,NA,NA,0.517850147
PATZ1,-1.755287212,NA,NA,NA
PAWR,-1.346308431,NA,NA,NA
PAX5,-1.092834711,NA,NA,NA
PBRM1,0.852159797,NA,-1.176722064,NA
PBX3,NA,NA,-1.421072766,NA
PCCA,1.42715374,-6.502661817,NA,NA
PCED1B,-2.02979876,NA,-0.826589235,NA
PCNT,-2.459141247,NA,-0.777596981,NA
PDCD2,NA,-1.319831046,NA,NA
PDCD2L,-5.933436785,NA,NA,NA
PDE4B,-1.134126047,NA,NA,NA
PDE4D,-1.792301698,NA,1.059902273,NA
PDE6B,-6.518747806,NA,NA,NA
PDE7A,-1.100480151,NA,NA,-0.2951749
PDE8A,NA,-1.58881666,0.860335539,NA
PDHB,1.080023549,NA,NA,NA
PDIA3,1.020966528,-0.686102985,NA,NA
PDIA4,1.686233264,NA,NA,NA
PDIA5,2.668319677,NA,NA,NA
PDIA6,1.509235968,NA,NA,NA
PDK1,1.280371006,NA,NA,NA
PDLIM2,-1.221850602,NA,NA,NA
PDPR,-2.171064556,NA,NA,NA
PDXK,1.286660284,NA,NA,NA
PDZD8,1.885003516,-7.353961909,NA,NA
PEBP1,1.002348788,NA,NA,NA
PECR,-6.270465783,NA,NA,NA
PEPD,-1.303763838,NA,NA,NA
PERP,NA,NA,1.373789305,NA
PEX10,NA,-6.098737066,1.006849695,NA
PEX3,NA,NA,-1.365922698,0.682049629
PFKFB3,NA,NA,1.207167993,NA
PFKP,NA,-1.213089495,NA,NA
PFN2,NA,-6.289026663,NA,NA
PGAP6,NA,NA,-1.457157632,NA
PGS1,NA,-1.274523275,NA,NA
PHACTR2,NA,-0.843327431,1.712062412,NA
PHAX,NA,-1.545651067,NA,NA
PHB1,NA,-1.458316612,NA,NA
PHF20,-1.115407849,NA,NA,NA
PHLPP2,NA,2.120232274,NA,NA
PHTF2,-1.64604816,NA,NA,NA
PIAS2,-6.78063261,NA,NA,NA
PIGC,-1.794695743,NA,NA,NA
PIGK,NA,NA,-1.418319456,NA
PIGL,-2.475303678,NA,NA,NA
PIGM,NA,-6.120549838,NA,NA
PIGS,NA,NA,-1.194129723,NA
PIK3CB,NA,-2.965380397,NA,NA
PIK3IP1,-1.511588932,NA,NA,NA
PIK3R1,-1.123805473,NA,-0.413697605,-0.578599676
PIP4K2B,NA,NA,-2.096835725,NA
PIP5K1C,NA,NA,-1.669758499,NA
PITHD1,-1.409984095,NA,NA,NA
PITPNM1,NA,-1.427835921,NA,NA
PITRM1,NA,NA,-1.286950318,NA
PKIA,NA,NA,-3.335598837,NA
PLA2G12A,NA,NA,-1.495984195,NA
PLAGL1,-6.855483256,NA,NA,NA
PLCB1,NA,NA,1.411001375,NA
PLCD1,NA,NA,-1.484408751,NA
PLCG1,NA,-1.132797158,NA,NA
PLEKHA2,NA,-1.570053848,NA,NA
PLEKHA3,-1.418585004,NA,NA,NA
PLEKHB1,NA,-1.60978281,NA,NA
PLEKHF2,-1.865811786,NA,NA,NA
PLEKHO1,-1.083238824,NA,NA,-1.089701037
PLEKHO2,-5.829478989,NA,NA,NA
PLOD3,1.484823114,NA,NA,NA
PLSCR1,-2.62039239,-7.082707412,0.724590738,NA
PLXND1,NA,NA,1.280748947,NA
PMM1,NA,-3.308137644,NA,NA
PNP,NA,-1.08827607,1.270300394,NA
POFUT1,NA,-2.188813018,NA,NA
POLB,NA,-2.390214722,NA,NA
POLE4,-1.089773752,NA,NA,0.368321389
POLK,-1.644523231,NA,NA,NA
POLM,NA,-2.488438196,NA,NA
POLR2E,NA,-1.370738877,NA,NA
POLR3A,NA,-6.612041815,NA,NA
POLR3K,NA,NA,-1.5285995,NA
POLRMT,NA,-1.372125493,NA,NA
POM121C,NA,-1.414207949,-0.564494446,-0.331749122
PORCN,NA,NA,-1.798761073,NA
PPBP,2.536985421,NA,NA,NA
PPIB,1.772752025,-0.373810581,NA,NA
PPID,NA,-1.102703299,NA,NA
PPM1L,NA,NA,-3.053560691,0.401186495
PPOX,1.253244895,NA,NA,NA
PPP1R12A,-1.173365715,NA,NA,NA
PPP1R16B,-1.101234307,NA,NA,NA
PPP1R18,-1.307589079,NA,-0.352067679,NA
PPP1R21,NA,NA,-1.058823092,NA
PPP1R9B,-1.759393161,NA,NA,NA
PPP2CB,NA,-2.202377716,NA,NA
PPP3CA,-1.052396038,NA,NA,NA
PPP3CB,-1.06583286,NA,NA,NA
PPWD1,-1.883242207,NA,NA,-0.486798271
PRADC1,NA,NA,-2.170497522,NA
PRDM8,-6.177265833,NA,NA,NA
PRDX3,1.015310898,-1.129470146,NA,NA
PRDX5,0.668578001,-1.013996186,NA,NA
PREB,2.077446467,NA,NA,NA
PRKAB1,-2.824118091,NA,NA,NA
PRKACA,NA,-1.715083528,NA,NA
PRKAR1A,-1.33966688,NA,NA,NA
PRKCD,-1.975491603,NA,NA,NA
PRKCE,-1.59711057,NA,NA,NA
PRMT2,-1.628069376,NA,-0.531013311,NA
PRMT5,1.451373484,NA,NA,NA
PRPF3,NA,-1.739909438,NA,NA
PRPSAP1,NA,-1.130283797,NA,NA
PRR12,-1.726352979,NA,NA,NA
PRR14,-1.855748703,NA,NA,NA
PRR5,NA,NA,1.392631202,NA
PRR5L,NA,NA,-1.917768442,NA
PRR7,NA,NA,NA,-1.074849982
PRSS23,NA,NA,-4.103031525,0.698401481
PSMA2,0.504977277,-1.026893244,-0.455189432,NA
PSMC3,NA,-1.036883587,-0.467374489,NA
PSMD12,1.023645962,NA,NA,NA
PSMD13,NA,-1.340001143,NA,NA
PSMD3,NA,-1.027822036,NA,NA
PSMD4,NA,-1.134498335,NA,NA
PSMD9,NA,-1.277033439,NA,NA
PSMG1,NA,NA,-2.177888408,NA
PTGDS,NA,NA,NA,1.375050844
PTK2,-1.816935513,-6.651820024,NA,NA
PTK2B,-1.122713141,NA,NA,NA
PTMS,1.848969304,NA,NA,NA
PTP4A3,NA,NA,-2.795236673,NA
PTRH2,NA,1.191054784,NA,NA
PTRHD1,NA,-1.74829164,-0.834527398,NA
PTTG1,1.710193986,NA,-2.346687178,NA
PTTG1IP,NA,-1.403425877,0.550011056,NA
PUS3,NA,NA,1.078306017,NA
PYGO2,NA,-2.098609403,NA,NA
QARS1,-1.051440725,NA,NA,NA
QRICH1,NA,-1.792136507,NA,NA
QSER1,-6.214457602,NA,NA,NA
RAB10,NA,-1.203407866,NA,NA
RAB11FIP2,NA,NA,-1.378373746,NA
RAB37,NA,NA,-1.138992038,NA
RAB43,1.852022303,NA,NA,NA
RAB4B,-1.938594938,NA,-0.558277856,NA
RABEP1,-1.40033009,NA,NA,NA
RABGEF1,0.770565365,-1.303324649,NA,NA
RABL2B,-6.293690346,NA,NA,NA
RAC1,-1.015703297,NA,NA,NA
RAD51B,NA,-1.077495958,-0.82127401,NA
RAE1,-1.769743832,NA,NA,NA
RALA,NA,NA,-1.586923303,NA
RANBP9,NA,-1.193825486,NA,NA
RANGRF,NA,-1.66945869,NA,NA
RAP1GDS1,-1.079809201,NA,NA,NA
RAPGEF6,-2.118897779,NA,NA,NA
RARG,NA,-6.50328229,1.711180024,NA
RARS2,NA,-1.250879271,NA,NA
RASA1,-1.627423472,NA,NA,-0.865396881
RASSF1,-1.162444042,NA,NA,NA
RASSF2,-1.405765673,NA,NA,NA
RB1CC1,-1.50665741,NA,NA,NA
RBAK,-5.845685361,NA,NA,NA
RBBP5,NA,-1.722624464,NA,NA
RBM15,NA,NA,-1.280215609,NA
RBM26,NA,-1.431147552,-0.628897867,NA
RBM41,NA,-2.365145795,NA,NA
RBM45,-6.169481187,NA,NA,NA
RBM4B,NA,-5.99979174,NA,NA
RBMX,-1.192503565,NA,NA,NA
RBPJ,1.00067872,NA,NA,NA
RCAN3,-2.301274465,-0.504397804,NA,NA
RCBTB2,NA,-1.38391973,NA,NA
RCN1,2.172253401,NA,NA,NA
RELB,NA,-2.139750503,0.719737733,NA
RELL2,NA,NA,-2.51146685,NA
RERE,NA,-1.193516245,-0.9672297,NA
REXO4,-1.859225539,NA,NA,NA
RFTN1,NA,NA,-1.1667602,NA
RFWD3,-6.460048897,NA,NA,NA
RFX1,NA,NA,-1.375857388,NA
RFX5,-1.112592837,NA,NA,NA
